timestamp,controller_online,upstream_power_available,drive_power_enabled,drive_supply_voltage_v,drive_ready,run_command,infeed_enabled,operating_mode,production_requested,belt_speed_m_s,motor_current_a,infeed_count_total,outfeed_count_total,manual_removed_count_total,cabinet_temperature_c,emergency_stop_active,maintenance_lockout,guard_closed,zone_clear,downstream_ready,unresolved_accumulation,run_resume_permitted,cooling_enabled,cooling_fan_running,cooling_fan_fault,cooling_control_permitted,thermal_pause_active,temperature_recovery_ready
2026-09-02T08:00:00+08:00,1,1,1,24.07,1,1,1,AUTO,1,0.402,1.7,1803,1800,0,35.0,0,0,1,1,1,0,1,0,0,0,1,0,1
2026-09-02T08:00:01+08:00,1,1,1,24.03,1,1,1,AUTO,1,0.398,1.82,1803,1800,0,35.01,0,0,1,1,1,0,1,0,0,0,1,0,1
2026-09-02T08:00:02+08:00,1,1,1,23.89,1,1,1,AUTO,1,0.398,1.78,1804,1801,0,35.02,0,0,1,1,1,0,1,0,0,0,1,0,1
2026-09-02T08:00:03+08:00,1,1,1,23.94,1,1,1,AUTO,1,0.399,1.62,1804,1801,0,35.02,0,0,1,1,1,0,1,0,0,0,1,0,1
2026-09-02T08:00:04+08:00,1,1,1,23.96,1,1,1,AUTO,1,0.402,1.72,1805,1802,0,35.03,0,0,1,1,1,0,1,0,0,0,1,0,1
2026-09-02T08:00:05+08:00,1,1,1,23.97,1,1,1,AUTO,1,0.401,1.8,1805,1802,0,35.04,0,0,1,1,1,0,1,0,0,0,1,0,1
2026-09-02T08:00:06+08:00,1,1,1,23.89,1,1,1,AUTO,1,0.398,1.7,1806,1803,0,35.05,0,0,1,1,1,0,1,0,0,0,1,0,1
2026-09-02T08:00:07+08:00,1,1,1,23.88,1,1,1,AUTO,1,0.404,1.78,1806,1803,0,35.06,0,0,1,1,1,0,1,0,0,0,1,0,1
2026-09-02T08:00:08+08:00,1,1,1,24.1,1,1,1,AUTO,1,0.397,1.73,1807,1804,0,35.07,0,0,1,1,1,0,1,0,0,0,1,0,1
2026-09-02T08:00:09+08:00,1,1,1,24.06,1,1,1,AUTO,1,0.398,1.64,1807,1804,0,35.08,0,0,1,1,1,0,1,0,0,0,1,0,1
