timestamp,controller_online,upstream_power_available,drive_power_enabled,drive_supply_voltage_v,drive_ready,run_command,infeed_enabled,operating_mode,production_requested,belt_speed_m_s,motor_current_a,infeed_count_total,outfeed_count_total,manual_removed_count_total,cabinet_temperature_c,emergency_stop_active,maintenance_lockout,guard_closed,zone_clear,downstream_ready,unresolved_accumulation
2026-09-15T09:00:00+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.6,1003,1000,0,34.0,0,0,1,1,1,0
2026-09-15T09:00:01+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.62,1003,1000,0,34.02,0,0,1,1,1,0
2026-09-15T09:00:02+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.64,1004,1001,0,34.05,0,0,1,1,1,0
2026-09-15T09:00:03+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.66,1004,1001,0,34.08,0,0,1,1,1,0
2026-09-15T09:00:04+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.68,1005,1002,0,34.1,0,0,1,1,1,0
2026-09-15T09:00:05+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.6,1005,1002,0,34.12,0,0,1,1,1,0
2026-09-15T09:00:06+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.62,1006,1003,0,34.15,0,0,1,1,1,0
2026-09-15T09:00:07+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.64,1006,1003,0,34.17,0,0,1,1,1,0
2026-09-15T09:00:08+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.66,1007,1004,0,34.2,0,0,1,1,1,0
2026-09-15T09:00:09+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.68,1007,1004,0,34.23,0,0,1,1,1,0
2026-09-15T09:00:10+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.6,1008,1005,0,34.25,0,0,1,1,1,0
2026-09-15T09:00:11+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.62,1008,1005,0,34.27,0,0,1,1,1,0
2026-09-15T09:00:12+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.64,1009,1006,0,34.3,0,0,1,1,1,0
2026-09-15T09:00:13+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.66,1009,1006,0,34.33,0,0,1,1,1,0
2026-09-15T09:00:14+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.68,1010,1007,0,34.35,0,0,1,1,1,0
2026-09-15T09:00:15+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.6,1010,1007,0,34.38,0,0,1,1,1,0
2026-09-15T09:00:16+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.62,1011,1008,0,34.4,0,0,1,1,1,0
2026-09-15T09:00:17+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.64,1011,1008,0,34.42,0,0,1,1,1,0
2026-09-15T09:00:18+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.66,1012,1009,0,34.45,0,0,1,1,1,0
2026-09-15T09:00:19+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.68,1012,1009,0,34.48,0,0,1,1,1,0
2026-09-15T09:00:20+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.6,1013,1010,0,34.5,0,0,1,1,1,0
2026-09-15T09:00:21+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.62,1013,1010,0,34.52,0,0,1,1,1,0
2026-09-15T09:00:22+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.64,1014,1011,0,34.55,0,0,1,1,1,0
2026-09-15T09:00:23+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.66,1014,1011,0,34.58,0,0,1,1,1,0
2026-09-15T09:00:24+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.68,1015,1012,0,34.6,0,0,1,1,1,0
2026-09-15T09:00:25+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.6,1015,1012,0,34.62,0,0,1,1,1,0
2026-09-15T09:00:26+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.62,1016,1013,0,34.65,0,0,1,1,1,0
2026-09-15T09:00:27+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.64,1016,1013,0,34.67,0,0,1,1,1,0
2026-09-15T09:00:28+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.66,1017,1014,0,34.7,0,0,1,1,1,0
2026-09-15T09:00:29+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.68,1017,1014,0,34.73,0,0,1,1,1,0
2026-09-15T09:00:30+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.6,1018,1015,0,34.75,0,0,1,1,1,0
2026-09-15T09:00:31+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.62,1018,1015,0,34.77,0,0,1,1,1,0
2026-09-15T09:00:32+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.64,1019,1016,0,34.8,0,0,1,1,1,0
2026-09-15T09:00:33+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.66,1019,1016,0,34.83,0,0,1,1,1,0
2026-09-15T09:00:34+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.68,1020,1017,0,34.85,0,0,1,1,1,0
2026-09-15T09:00:35+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.6,1020,1017,0,34.88,0,0,1,1,1,0
2026-09-15T09:00:36+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.62,1021,1018,0,34.9,0,0,1,1,1,0
2026-09-15T09:00:37+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.64,1021,1018,0,34.92,0,0,1,1,1,0
2026-09-15T09:00:38+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.66,1022,1019,0,34.95,0,0,1,1,1,0
2026-09-15T09:00:39+08:00,1,1,1,24.0,1,1,1,AUTO,1,0.4,1.68,1022,1019,0,34.98,0,0,1,1,1,0
2026-09-15T09:00:40+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.2,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:00:41+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.08,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:00:42+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:00:43+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:00:44+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:00:45+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:00:46+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:00:47+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:00:48+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:00:49+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:00:50+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:00:51+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:00:52+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:00:53+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:00:54+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:00:55+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:00:56+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:00:57+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:00:58+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:00:59+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:00+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:01+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:02+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:03+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:04+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:05+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:06+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:07+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:08+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:09+08:00,1,0,0,0.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:10+08:00,1,1,1,24.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:11+08:00,1,1,1,24.0,0,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:12+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:13+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:14+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:15+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:16+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:17+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:18+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:19+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:20+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:21+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:22+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:23+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:24+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:25+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:26+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:27+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:28+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:29+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:30+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:31+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:32+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:33+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:34+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:35+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:36+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:37+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:38+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:39+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:40+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:41+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:42+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:43+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:44+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:45+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:46+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:47+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:48+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:49+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:50+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:51+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:52+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:53+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:54+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:55+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:56+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:57+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:58+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:01:59+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
2026-09-15T09:02:00+08:00,1,1,1,24.0,1,0,0,AUTO,1,0.0,0.0,1022,1019,0,35.0,0,0,1,1,1,0
