timestamp,controller_online,upstream_power_available,drive_power_enabled,drive_supply_voltage_v,drive_ready,run_command,infeed_enabled,operating_mode,production_requested,belt_speed_m_s,motor_current_a,infeed_count_total,outfeed_count_total,manual_removed_count_total,cabinet_temperature_c,emergency_stop_active,maintenance_lockout,guard_closed,zone_clear,downstream_ready,unresolved_accumulation,run_resume_permitted,cooling_enabled,cooling_fan_running,cooling_fan_fault,cooling_control_permitted,thermal_pause_active,temperature_recovery_ready
2026-09-05T11:51:00+08:00,1,1,1,23.99,1,1,1,AUTO,1,0.4,1.59,2575,2571,0,,0,0,1,1,1,0,1,0,0,0,1,,
2026-09-05T11:51:01+08:00,1,1,1,24.06,1,1,1,AUTO,1,0.399,1.78,2575,2571,0,,0,0,1,1,1,0,1,0,0,0,1,,
2026-09-05T11:51:02+08:00,1,1,1,23.91,1,1,1,AUTO,1,0.397,1.75,2576,2572,0,,0,0,1,1,1,0,1,0,0,0,1,,
2026-09-05T11:51:03+08:00,1,1,1,23.96,1,1,1,AUTO,1,0.401,1.63,2577,2573,0,,0,0,1,1,1,0,1,0,0,0,1,,
2026-09-05T11:51:04+08:00,1,1,1,23.89,1,1,1,AUTO,1,0.398,1.67,2577,2573,0,,0,0,1,1,1,0,1,0,0,0,1,,
2026-09-05T11:51:05+08:00,1,1,1,24.05,1,1,1,AUTO,1,0.396,1.74,2578,2574,0,,0,0,1,1,1,0,1,0,0,0,1,,
2026-09-05T11:51:06+08:00,1,1,1,24.1,1,1,1,AUTO,1,0.4,1.63,2579,2575,0,,0,0,1,1,1,0,1,0,0,0,1,,
2026-09-05T11:51:07+08:00,1,1,1,24.07,1,1,1,AUTO,1,0.402,1.79,2579,2575,0,,0,0,1,1,1,0,1,0,0,0,1,,
2026-09-05T11:51:08+08:00,1,1,1,24.05,1,1,1,AUTO,1,0.401,1.81,2580,2576,0,,0,0,1,1,1,0,1,0,0,0,1,,
2026-09-05T11:51:09+08:00,1,1,1,24.04,1,1,1,AUTO,1,0.401,1.65,2581,2577,0,,0,0,1,1,1,0,1,0,0,0,1,,
2026-09-05T11:51:10+08:00,1,1,1,23.93,1,1,1,AUTO,1,0.399,1.7,2581,2577,0,,0,0,1,1,1,0,1,0,0,0,1,,
2026-09-05T11:51:11+08:00,1,1,1,24.03,1,1,1,AUTO,1,0.403,1.7,2582,2578,0,,0,0,1,1,1,0,1,0,0,0,1,,
2026-09-05T11:51:12+08:00,1,1,1,23.88,1,1,1,AUTO,1,0.396,1.74,2583,2579,0,,0,0,1,1,1,0,1,0,0,0,1,,
2026-09-05T11:51:13+08:00,1,1,1,24.1,1,1,1,AUTO,1,0.401,1.65,2583,2579,0,,0,0,1,1,1,0,1,0,0,0,1,,
2026-09-05T11:51:14+08:00,1,1,1,24.05,1,1,1,AUTO,1,0.402,1.82,2584,2580,0,,0,0,1,1,1,0,1,0,0,0,1,,
2026-09-05T11:51:15+08:00,1,1,1,23.93,1,1,1,AUTO,1,0.402,1.73,2585,2581,0,,0,0,1,1,1,0,1,0,0,0,1,,
2026-09-05T11:51:16+08:00,1,1,1,24.01,1,1,1,AUTO,1,0.403,1.79,2585,2581,0,,0,0,1,1,1,0,1,0,0,0,1,,
2026-09-05T11:51:17+08:00,1,1,1,23.9,1,1,1,AUTO,1,0.396,1.72,2586,2582,0,,0,0,1,1,1,0,1,0,0,0,1,,
2026-09-05T11:51:18+08:00,1,1,1,23.88,1,1,1,AUTO,1,0.402,1.8,2587,2583,0,,0,0,1,1,1,0,1,0,0,0,1,,
2026-09-05T11:51:19+08:00,1,1,1,24.05,1,1,1,AUTO,1,0.4,1.72,2587,2583,0,,0,0,1,1,1,0,1,0,0,0,1,,
2026-09-05T11:51:20+08:00,1,1,1,23.91,1,1,1,AUTO,1,0.401,1.7,2588,2584,0,,0,0,1,1,1,0,1,0,0,0,1,,
2026-09-05T11:51:21+08:00,1,1,1,24.1,1,1,1,AUTO,1,0.4,1.71,2589,2585,0,,0,0,1,1,1,0,1,0,0,0,1,,
2026-09-05T11:51:22+08:00,1,1,1,24.03,1,1,1,AUTO,1,0.399,1.72,2589,2585,0,,0,0,1,1,1,0,1,0,0,0,1,,
2026-09-05T11:51:23+08:00,1,1,1,24.1,1,1,1,AUTO,1,0.4,1.7,2590,2586,0,,0,0,1,1,1,0,1,0,0,0,1,,
2026-09-05T11:51:24+08:00,1,1,1,24.03,1,1,1,AUTO,1,0.404,1.69,2591,2587,0,,0,0,1,1,1,0,1,0,0,0,1,,
